t =     0.2000
           x          rho            u            p
    -1.00000      0.12400      0.50000      1.00000
    -0.99800      0.12400      0.50000      1.00000
    -0.99600      0.12400      0.50000      1.00000
    -0.99399      0.12400      0.50000      1.00000
    -0.99199      0.12400      0.50000      1.00000
    -0.98999      0.12400      0.50000      1.00000
    -0.98799      0.12400      0.50000      1.00000
    -0.98599      0.12400      0.50000      1.00000
    -0.98398      0.12400      0.50000      1.00000
    -0.98198      0.12400      0.50000      1.00000
    -0.97998      0.12400      0.50000      1.00000
    -0.97798      0.12400      0.50000      1.00000
    -0.97598      0.12400      0.50000      1.00000
    -0.97397      0.12400      0.50000      1.00000
    -0.97197      0.12400      0.50000      1.00000
    -0.96997      0.12400      0.50000      1.00000
    -0.96797      0.12400      0.50000      1.00000
    -0.96597      0.12400      0.50000      1.00000
    -0.96396      0.12400      0.50000      1.00000
    -0.96196      0.12400      0.50000      1.00000
    -0.95996      0.12400      0.50000      1.00000
    -0.95796      0.12400      0.50000      1.00000
    -0.95596      0.12400      0.50000      1.00000
    -0.95395      0.12400      0.50000      1.00000
    -0.95195      0.12400      0.50000      1.00000
    -0.94995      0.12400      0.50000      1.00000
    -0.94795      0.12400      0.50000      1.00000
    -0.94595      0.12400      0.50000      1.00000
    -0.94394      0.12400      0.50000      1.00000
    -0.94194      0.12400      0.50000      1.00000
    -0.93994      0.12400      0.50000      1.00000
    -0.93794      0.12400      0.50000      1.00000
    -0.93594      0.12400      0.50000      1.00000
    -0.93393      0.12400      0.50000      1.00000
    -0.93193      0.12400      0.50000      1.00000
    -0.92993      0.12400      0.50000      1.00000
    -0.92793      0.12400      0.50000      1.00000
    -0.92593      0.12400      0.50000      1.00000
    -0.92392      0.12400      0.50000      1.00000
    -0.92192      0.12400      0.50000      1.00000
    -0.91992      0.12400      0.50000      1.00000
    -0.91792      0.12400      0.50000      1.00000
    -0.91592      0.12400      0.50000      1.00000
    -0.91391      0.12400      0.50000      1.00000
    -0.91191      0.12400      0.50000      1.00000
    -0.90991      0.12400      0.50000      1.00000
    -0.90791      0.12400      0.50000      1.00000
    -0.90591      0.12400      0.50000      1.00000
    -0.90390      0.12400      0.50000      1.00000
    -0.90190      0.12400      0.50000      1.00000
    -0.89990      0.12400      0.50000      1.00000
    -0.89790      0.12400      0.50000      1.00000
    -0.89590      0.12400      0.50000      1.00000
    -0.89389      0.12400      0.50000      1.00000
